Protein IDs,Majority protein IDs,Gene names,Protein names,Peptides,Sequence coverage [%],Mol. weight [kDa]
Q9P1U1;Q9C0K3,Q9P1U1,ACTR3B,Actin-related protein 3B,3,6.7,47.607
Q9P1Y5,Q9P1Y5,CAMSAP3,Calmodulin-regulated spectrin-associated protein 3,5,7.1,134.75
Q9P215,Q9P215,POGK,Pogo transposable element with KRAB domain,3,5.7,69.443
Q9P217,Q9P217,ZSWIM5,Zinc finger SWIM domain-containing protein 5,1,0.7,130.63
Q9P219,Q9P219,CCDC88C,Protein Daple,2,1.1,228.23
Q9P225,Q9P225,DNAH2,"Dynein heavy chain 2, axonemal",2,0.5,507.69
Q9P227,Q9P227,ARHGAP23,Rho GTPase-activating protein 23,1,0.8,162.19
Q9P246,Q9P246,STIM2,Stromal interaction molecule 2,5,9.4,83.97
Q9P253,Q9P253,VPS18,Vacuolar protein sorting-associated protein 18 homolog,6,10.0,110.18
Q9P258,Q9P258,RCC2,Protein RCC2,19,48.3,56.084
Q9P260,Q9P260,KIAA1468,LisH domain and HEAT repeat-containing protein KIAA1468,3,3.5,134.63
Q9P265,Q9P265,DIP2B,Disco-interacting protein 2 homolog B,19,17.3,171.49
Q9P270,Q9P270,SLAIN2,SLAIN motif-containing protein 2,5,12.2,62.543
Q9P273;Q6N022,Q9P273,TENM3,Teneurin-3,3,1.3,300.95
Q9P287,Q9P287,BCCIP,BRCA2 and CDKN1A-interacting protein,12,51.6,35.979
Q9P289,Q9P289,STK26,Serine/threonine-protein kinase 26,14,40.4,46.528
Q9P291,Q9P291,ARMCX1,Armadillo repeat-containing X-linked protein 1,4,11.7,49.18
Q9P2B2,Q9P2B2,PTGFRN,Prostaglandin F2 receptor negative regulator,6,8.4,98.555
Q9P2B4,Q9P2B4,CTTNBP2NL,CTTNBP2 N-terminal-like protein,13,29.3,70.157
Q9P2D1,Q9P2D1,CHD7,Chromodomain-helicase-DNA-binding protein 7,22,9.9,335.92
Q9P2D3,Q9P2D3,HEATR5B,HEAT repeat-containing protein 5B,4,2.8,224.3
Q9P2D6,Q9P2D6,FAM135A,Protein FAM135A,2,1.6,169.84
Q9P2E2,Q9P2E2,KIF17,Kinesin-like protein KIF17,5,5.7,115.07
Q9P2E9;Q8N4C6,Q9P2E9,RRBP1,Ribosome-binding protein 1,41,33.0,152.45
Q9P2F8,Q9P2F8,SIPA1L2,Signal-induced proliferation-associated 1-like protein 2,10,7.7,190.44
Q9P2H3,Q9P2H3,IFT80,Intraflagellar transport protein 80 homolog,2,4.1,88.034
Q9P2H5,Q9P2H5,USP35,Ubiquitin carboxyl-terminal hydrolase 35,2,3.4,113.4
Q9P2I0,Q9P2I0,CPSF2,Cleavage and polyadenylation specificity factor subunit 2,16,28.0,88.486
Q9P2J3;Q9P2N7,Q9P2J3;Q9P2N7,KLHL9;KLHL13,Kelch-like protein 9;Kelch-like protein 13,3,5.8,69.428
Q9P2J5,Q9P2J5,LARS,"Leucine--tRNA ligase, cytoplasmic",53,50.3,134.46
Q9P2K3,Q9P2K3,RCOR3,REST corepressor 3,7,16.4,55.581
Q9P2K5,Q9P2K5,MYEF2,Myelin expression factor 2,17,32.3,64.121
Q9P2K8,Q9P2K8,EIF2AK4,Eukaryotic translation initiation factor 2-alpha kinase 4,6,5.3,186.91
Q9P2L0,Q9P2L0,WDR35,WD repeat-containing protein 35,13,14.1,133.55
Q9P2N5,Q9P2N5,RBM27,RNA-binding protein 27,6,6.8,118.72
Q9P2P6,Q9P2P6,STARD9,StAR-related lipid transfer protein 9,2,0.3,516.34
Q9P2Q2;Q9Y2L6,Q9P2Q2;Q9Y2L6,FRMD4A;FRMD4B,FERM domain-containing protein 4A;FERM domain-containing protein 4B,2,2.9,115.46
Q9P2R3,Q9P2R3,ANKFY1,Rabankyrin-5,21,22.8,128.4
Q9P2R6,Q9P2R6,RERE,Arginine-glutamic acid dipeptide repeats protein,1,0.8,172.42
Q9P2R7,Q9P2R7,SUCLA2,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial",18,38.9,50.317
Q9P2T1,Q9P2T1,GMPR2,GMP reductase 2,10,36.5,37.874
Q9P2W1,Q9P2W1,PSMC3IP,Homologous-pairing protein 2 homolog,2,10.6,24.906
Q9P2W9,Q9P2W9,STX18,Syntaxin-18,6,26.6,38.673
Q9P2X3,Q9P2X3,IMPACT,Protein IMPACT,3,12.2,36.476
Q9P2Y5,Q9P2Y5,UVRAG,UV radiation resistance-associated gene protein,3,3.7,78.15
Q9UBB4,Q9UBB4,ATXN10,Ataxin-10,15,35.4,53.488
Q9UBB6,Q9UBB6,NCDN,Neurochondrin,8,13.6,78.863
Q9UBB9,Q9UBB9,TFIP11,Tuftelin-interacting protein 11,12,18.6,96.819
Q9UBC2,Q9UBC2,EPS15L1,Epidermal growth factor receptor substrate 15-like 1,32,50.1,94.254
Q9UBC3,Q9UBC3,DNMT3B,DNA (cytosine-5)-methyltransferase 3B,19,31.4,95.75
Q9UBD5,Q9UBD5,ORC3,Origin recognition complex subunit 3,6,10.5,82.253
Q9UBE0,Q9UBE0,SAE1,"SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed",15,50.9,38.449
Q9UBF2,Q9UBF2,COPG2,Coatomer subunit gamma-2,20,26.8,97.621
Q9UBF6,Q9UBF6,RNF7,RING-box protein 2,2,27.4,12.683
Q9UBG0,Q9UBG0,MRC2,C-type mannose receptor 2,16,15.6,166.67
Q9UBH6,Q9UBH6,XPR1,Xenotropic and polytropic retrovirus receptor 1,5,10.6,81.534
Q9UBI1,Q9UBI1,COMMD3,COMM domain-containing protein 3,7,43.1,22.151
Q9UBI6,Q9UBI6,GNG12,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,6,75.0,8.0061
Q9UNT1;Q9UBK7,Q9UNT1;Q9UBK7,RABL2B;RABL2A,Rab-like protein 2B;Rab-like protein 2A,3,11.8,26.101
Q9UBK9,Q9UBK9,UXT,Protein UXT,2,15.3,18.246
Q9UBL3,Q9UBL3,ASH2L,Set1/Ash2 histone methyltransferase complex subunit ASH2,13,27.5,68.722
Q9UBM7,Q9UBM7,DHCR7,7-dehydrocholesterol reductase,3,9.1,54.489
Q9UBN1,Q9UBN1,CACNG4,Voltage-dependent calcium channel gamma-4 subunit,1,8.3,36.578
Q9UBN7,Q9UBN7,HDAC6,Histone deacetylase 6,2,1.6,131.42
Q9UBP0,Q9UBP0,SPAST,Spastin,7,18.0,67.196
Q9UBP4,Q9UBP4,DKK3,Dickkopf-related protein 3,4,16.0,38.39
Q9UBP9,Q9UBP9,GULP1,PTB domain-containing engulfment adapter protein 1,3,9.5,34.49
Q9UBQ0,Q9UBQ0,VPS29,Vacuolar protein sorting-associated protein 29,12,64.8,20.505
Q9UBQ5,Q9UBQ5,EIF3K,Eukaryotic translation initiation factor 3 subunit K,7,43.1,25.059
Q9UBQ6,Q9UBQ6,EXTL2,Exostosin-like 2;Processed exostosin-like 2,3,14.2,37.465
Q9UBQ7,Q9UBQ7,GRHPR,Glyoxylate reductase/hydroxypyruvate reductase,11,43.9,35.668
Q9UBR2,Q9UBR2,CTSZ,Cathepsin Z,2,7.6,33.868
Q9UBS3,Q9UBS3,DNAJB9,DnaJ homolog subfamily B member 9,2,10.8,25.518
Q9UBS4,Q9UBS4,DNAJB11,DnaJ homolog subfamily B member 11,13,40.2,40.513
Q9UBS5,Q9UBS5,GABBR1,Gamma-aminobutyric acid type B receptor subunit 1,1,1.2,108.32
Q9UBS8,Q9UBS8,RNF14,E3 ubiquitin-protein ligase RNF14,2,4.6,53.837
Q9UBS9,Q9UBS9,SUCO,SUN domain-containing ossification factor,3,3.3,139.43
Q9UBT2,Q9UBT2,UBA2,SUMO-activating enzyme subunit 2,23,52.7,71.223
Q9UBU6,Q9UBU6,FAM8A1,Protein FAM8A1,1,6.5,44.123
Q9UBU8,Q9UBU8,MORF4L1,Mortality factor 4-like protein 1,5,15.5,41.473
Q9UBU9,Q9UBU9,NXF1,Nuclear RNA export factor 1,13,20.5,70.182
Q9UBV2,Q9UBV2,SEL1L,Protein sel-1 homolog 1,10,20.8,88.754
Q9UBV8,Q9UBV8,PEF1,Peflin,2,8.5,30.381
Q9UBW7,Q9UBW7,ZMYM2,Zinc finger MYM-type protein 2,20,20.4,154.91
Q9UBW8,Q9UBW8,COPS7A,COP9 signalosome complex subunit 7a,2,9.1,30.276
Q9UBX3,Q9UBX3,SLC25A10,Mitochondrial dicarboxylate carrier,4,21.3,31.282
Q9UBX5,Q9UBX5,FBLN5,Fibulin-5,2,5.4,50.18
Q9UBY8,Q9UBY8,CLN8,Protein CLN8,2,9.4,32.787
Q9UDR5,Q9UDR5,AASS,"Alpha-aminoadipic semialdehyde synthase, mitochondrial;Lysine ketoglutarate reductase;Saccharopine dehydrogenase",29,36.2,102.13
Q9UDT6,Q9UDT6,CLIP2,CAP-Gly domain-containing linker protein 2,27,29.7,115.84
Q9UDY2,Q9UDY2,TJP2,Tight junction protein ZO-2,6,6.8,133.96
Q9UDY4,Q9UDY4,DNAJB4,DnaJ homolog subfamily B member 4,9,26.7,37.806
Q9UEE9,Q9UEE9,CFDP1,Craniofacial development protein 1,3,11.4,33.592
Q9UEG4;Q86UD4;Q32M78;Q6ECI4,Q9UEG4,ZNF629,Zinc finger protein 629,5,6.6,96.619
Q9UER7,Q9UER7,DAXX,Death domain-associated protein 6,2,4.3,81.372
Q9UET6,Q9UET6,FTSJ1,Putative tRNA (cytidine(32)/guanosine(34)-2-O)-methyltransferase,2,11.2,36.079
Q9UEU0,Q9UEU0,VTI1B,Vesicle transport through interaction with t-SNAREs homolog 1B,4,23.7,26.688
Q9UEW8,Q9UEW8,STK39,STE20/SPS1-related proline-alanine-rich protein kinase,11,24.0,59.473
Q9UEY8,Q9UEY8,ADD3,Gamma-adducin,13,23.7,79.154
Q9UFC0,Q9UFC0,LRWD1,Leucine-rich repeat and WD repeat-containing protein 1,9,23.0,70.86
Q9UFF9,Q9UFF9,CNOT8,CCR4-NOT transcription complex subunit 8,2,7.9,33.54
Q9UFG5,Q9UFG5,C19orf25,UPF0449 protein C19orf25,2,25.4,12.878
Q9UFN0;Q9BS92,Q9UFN0,NIPSNAP3A,Protein NipSnap homolog 3A,11,58.3,28.466
Q9UFW8,Q9UFW8,CGGBP1,CGG triplet repeat-binding protein 1,4,28.7,18.82
Q9UG01,Q9UG01,IFT172,Intraflagellar transport protein 172 homolog,6,3.8,197.57
Q9UG56,Q9UG56,PISD,Phosphatidylserine decarboxylase proenzyme;Phosphatidylserine decarboxylase alpha chain;Phosphatidylserine decarboxylase beta chain,3,6.8,46.671
Q9UG63,Q9UG63,ABCF2,ATP-binding cassette sub-family F member 2,12,22.3,71.289
Q9UGI6;Q9H2S1,Q9UGI6,KCNN3,Small conductance calcium-activated potassium channel protein 3,3,5.7,81.384
Q9UGJ1,Q9UGJ1,TUBGCP4,Gamma-tubulin complex component 4,2,3.3,76.088
Q9UGL1,Q9UGL1,KDM5B,Lysine-specific demethylase 5B,7,5.2,175.66
Q9UGM6,Q9UGM6,WARS2,"Tryptophan--tRNA ligase, mitochondrial",4,13.3,40.146
Q9UGP4,Q9UGP4,LIMD1,LIM domain-containing protein 1,3,7.0,72.189
Q9UGP8,Q9UGP8,SEC63,Translocation protein SEC63 homolog,20,31.7,87.996
Q9UGR2,Q9UGR2,ZC3H7B,Zinc finger CCCH domain-containing protein 7B,15,18.0,109.86
Q9UGT4,Q9UGT4,SUSD2,Sushi domain-containing protein 2,2,4.5,90.207
Q9UGU0,Q9UGU0,TCF20,Transcription factor 20,4,2.8,211.77
Q9UGU5,Q9UGU5,HMGXB4,HMG domain-containing protein 4,2,5.0,65.711
Q9UGV2,Q9UGV2,NDRG3,Protein NDRG3,8,30.4,41.408
Q9UH03,Q9UH03,SEPT3,Neuronal-specific septin-3,13,45.0,40.703
Q9UH62,Q9UH62,ARMCX3,Armadillo repeat-containing X-linked protein 3,13,40.9,42.5
Q9UH65,Q9UH65,SWAP70,Switch-associated protein 70,11,23.4,68.997
Q9UH99,Q9UH99,SUN2,SUN domain-containing protein 2,6,12.6,80.31
Q9UHA3,Q9UHA3,RSL24D1,Probable ribosome biogenesis protein RLP24,2,16.6,19.621
Q9UHA4,Q9UHA4,LAMTOR3,Ragulator complex protein LAMTOR3,3,49.2,13.623
Q9UHB6,Q9UHB6,LIMA1,LIM domain and actin-binding protein 1,15,26.5,85.225
Q9UHB7,Q9UHB7,AFF4,AF4/FMR2 family member 4,4,3.4,127.46
Q9UHB9,Q9UHB9,SRP68,Signal recognition particle subunit SRP68,21,41.5,70.729
Q9UHD1,Q9UHD1,CHORDC1,Cysteine and histidine-rich domain-containing protein 1,10,46.4,37.489
Q9UHD2,Q9UHD2,TBK1,Serine/threonine-protein kinase TBK1,7,12.8,83.641
Q9UHD8,Q9UHD8,SEPT9,Septin-9,25,49.7,65.401
Q9UHD9,Q9UHD9,UBQLN2,Ubiquilin-2,5,11.5,65.695
Q9UHF7,Q9UHF7,TRPS1,Zinc finger transcription factor Trps1,2,2.3,141.52
Q9UHG2;Q9NPY3,Q9UHG2,PCSK1N,ProSAAS;KEP;Big SAAS;Little SAAS;Big PEN-LEN;PEN;Little LEN;Big LEN,3,16.5,27.372
Q9UHG3,Q9UHG3,PCYOX1,Prenylcysteine oxidase 1,15,35.6,56.639
Q9UHI6,Q9UHI6,DDX20,Probable ATP-dependent RNA helicase DDX20,8,14.0,92.239
Q9UHJ6,Q9UHJ6,SHPK,Sedoheptulokinase,6,20.9,51.49
Q9UHL4,Q9UHL4,DPP7,Dipeptidyl peptidase 2,9,21.1,54.341
Q9UHN1,Q9UHN1,POLG2,"DNA polymerase subunit gamma-2, mitochondrial",4,8.7,54.91
Q9UHN6,Q9UHN6,TMEM2,Transmembrane protein 2,7,6.4,154.37
Q9UHQ4,Q9UHQ4,BCAP29,B-cell receptor-associated protein 29,2,6.2,28.32
Q9UHQ9,Q9UHQ9,CYB5R1,NADH-cytochrome b5 reductase 1,11,47.2,34.094
Q9UHR5,Q9UHR5,SAP30BP,SAP30-binding protein,5,20.1,33.87
Q9UHV7,Q9UHV7,MED13,Mediator of RNA polymerase II transcription subunit 13,3,1.8,239.29
Q9UHV9,Q9UHV9,PFDN2,Prefoldin subunit 2,6,46.8,16.648
Q9UHW5,Q9UHW5,GPN3,GPN-loop GTPase 3,1,4.6,32.761
Q9UHX1,Q9UHX1,PUF60,Poly(U)-binding-splicing factor PUF60,23,55.8,59.875
Q9UHY1,Q9UHY1,NRBP1,Nuclear receptor-binding protein,11,33.6,59.844
Q9UHY7,Q9UHY7,ENOPH1,Enolase-phosphatase E1,7,38.7,28.932
Q9UHY8,Q9UHY8,FEZ2,Fasciculation and elongation protein zeta-2,4,15.3,39.666
Q9UI08,Q9UI08,EVL,Ena/VASP-like protein,2,4.8,44.619
Q9UI09,Q9UI09,NDUFA12,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,9,65.5,17.114
Q9UI10,Q9UI10,EIF2B4,Translation initiation factor eIF-2B subunit delta,14,35.8,57.557
Q9UI12,Q9UI12,ATP6V1H,V-type proton ATPase subunit H,13,35.0,55.882
Q9UI14,Q9UI14,RABAC1,Prenylated Rab acceptor protein 1,1,8.1,20.648
Q9UI15,Q9UI15,TAGLN3,Transgelin-3,12,63.3,22.472
Q9UI26,Q9UI26,IPO11,Importin-11,5,6.5,112.53
Q9UI30,Q9UI30,TRMT112,Multifunctional methyltransferase subunit TRM112-like protein,5,52.0,14.199
Q9UI95,Q9UI95,MAD2L2,Mitotic spindle assembly checkpoint protein MAD2B,3,11.4,24.334
Q9UIA9,Q9UIA9,XPO7,Exportin-7,12,14.4,123.91
Q9UIC8,Q9UIC8,LCMT1,Leucine carboxyl methyltransferase 1,6,17.1,38.379
Q9UID3,Q9UID3,VPS51,Vacuolar protein sorting-associated protein 51 homolog,10,17.4,86.041
Q9UIF8,Q9UIF8,BAZ2B,Bromodomain adjacent to zinc finger domain protein 2B,2,1.1,240.46
Q9UIF9,Q9UIF9,BAZ2A,Bromodomain adjacent to zinc finger domain protein 2A,4,3.4,211.2
Q9UIG0,Q9UIG0,BAZ1B,Tyrosine-protein kinase BAZ1B,35,31.2,170.9
Q9UII2,Q9UII2,ATPIF1,"ATPase inhibitor, mitochondrial",2,10.4,12.249
Q9UII4,Q9UII4,HERC5,E3 ISG15--protein ligase HERC5,8,10.6,116.85
Q9UIJ7,Q9UIJ7,AK3,"GTP:AMP phosphotransferase AK3, mitochondrial",14,64.8,25.565
Q9UIQ6,Q9UIQ6,LNPEP,"Leucyl-cystinyl aminopeptidase;Leucyl-cystinyl aminopeptidase, pregnancy serum form",6,7.9,117.35
Q9UIS9,Q9UIS9,MBD1,Methyl-CpG-binding domain protein 1,7,16.7,66.606
Q9UIV1,Q9UIV1,CNOT7,CCR4-NOT transcription complex subunit 7,4,17.2,32.745
Q9UIW2,Q9UIW2,PLXNA1,Plexin-A1,22,12.8,211.06
Q9UJ14,Q9UJ14,GGT7,Gamma-glutamyltransferase 7;Gamma-glutamyltransferase 7 heavy chain;Gamma-glutamyltransferase 7 light chain,2,4.5,70.466
Q9UJ41,Q9UJ41,RABGEF1,Rab5 GDP/GTP exchange factor,10,18.9,79.37
Q9UJ68,Q9UJ68,MSRA,Mitochondrial peptide methionine sulfoxide reductase,4,28.9,26.132
Q9UJ70,Q9UJ70,NAGK,N-acetyl-D-glucosamine kinase,12,45.9,37.375
Q9UJ83,Q9UJ83,HACL1,2-hydroxyacyl-CoA lyase 1,8,19.0,63.728
Q9UJA5,Q9UJA5,TRMT6,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,4,9.3,55.799
Q9UJC5,Q9UJC5,SH3BGRL2,SH3 domain-binding glutamic acid-rich-like protein 2,2,23.4,12.326
Q9UJD0,Q9UJD0,RIMS3,Regulating synaptic membrane exocytosis protein 3,4,19.8,32.796
Q9UJF2,Q9UJF2,RASAL2,Ras GTPase-activating protein nGAP,8,7.4,128.56
Q9UJG1,Q9UJG1,MOSPD1,Motile sperm domain-containing protein 1,2,11.7,24.086
Q9UJJ9,Q9UJJ9,GNPTG,N-acetylglucosamine-1-phosphotransferase subunit gamma,2,9.8,33.973
Q9UJQ1,Q9UJQ1,LAMP5,Lysosome-associated membrane glycoprotein 5,2,10.4,31.472
Q9UJQ4,Q9UJQ4,SALL4,Sal-like protein 4,10,13.8,112.23
Q9UJS0,Q9UJS0,SLC25A13,Calcium-binding mitochondrial carrier protein Aralar2,24,38.8,74.175
Q9UJT0,Q9UJT0,TUBE1,Tubulin epsilon chain,1,2.7,52.931
Q9UJU6,Q9UJU6,DBNL,Drebrin-like protein,16,46.0,48.207
Q9UJV9,Q9UJV9,DDX41,Probable ATP-dependent RNA helicase DDX41,14,23.3,69.837
Q9UJW0,Q9UJW0,DCTN4,Dynactin subunit 4,18,56.5,52.337
Q9UJW3;A0A096LPK6,Q9UJW3,DNMT3L,DNA (cytosine-5)-methyltransferase 3-like,9,35.0,43.582
Q9UJX2,Q9UJX2,CDC23,Cell division cycle protein 23 homolog,11,19.6,68.833
Q9UJX3,Q9UJX3,ANAPC7,Anaphase-promoting complex subunit 7,10,21.7,66.855
Q9UJX4,Q9UJX4,ANAPC5,Anaphase-promoting complex subunit 5,4,6.2,85.076
Q9UJX6,Q9UJX6,ANAPC2,Anaphase-promoting complex subunit 2,3,3.6,93.827
Q9UJY1,Q9UJY1,HSPB8,Heat shock protein beta-8,3,16.8,21.604
Q9UJY4,Q9UJY4,GGA2,ADP-ribosylation factor-binding protein GGA2,5,9.3,67.15
Q9UJY5,Q9UJY5,GGA1,ADP-ribosylation factor-binding protein GGA1,5,9.2,70.383
Q9UJZ1,Q9UJZ1,STOML2,"Stomatin-like protein 2, mitochondrial",20,62.4,38.534
Q9UK22,Q9UK22,FBXO2,F-box only protein 2,4,17.2,33.327
Q9UK39,Q9UK39,CCRN4L,Nocturnin,1,2.8,48.195
Q9UK41,Q9UK41,VPS28,Vacuolar protein sorting-associated protein 28 homolog,6,38.9,25.425
Q9UK45,Q9UK45,LSM7,U6 snRNA-associated Sm-like protein LSm7,3,25.2,11.602
Q9UK59,Q9UK59,DBR1,Lariat debranching enzyme,5,10.8,61.554
Q9UK61,Q9UK61,FAM208A,Protein FAM208A,5,3.7,189.03
Q9UK76,Q9UK76,HN1,"Hematological and neurological expressed 1 protein;Hematological and neurological expressed 1 protein, N-terminally processed",6,64.9,16.014
Q9UK96,Q9UK96,FBXO10,F-box only protein 10,2,2.5,105.19
Q9UKA4,Q9UKA4,AKAP11,A-kinase anchor protein 11,6,4.4,210.51
Q9UKA9,Q9UKA9,PTBP2,Polypyrimidine tract-binding protein 2,11,35.2,57.49
Q9UKB1;Q9Y297,Q9UKB1;Q9Y297,FBXW11;BTRC,F-box/WD repeat-containing protein 11;F-box/WD repeat-containing protein 1A,2,4.4,62.09
Q9UKB3,Q9UKB3,DNAJC12,DnaJ homolog subfamily C member 12,1,4.5,23.415
Q9UKD2,Q9UKD2,MRTO4,mRNA turnover protein 4 homolog,8,41.8,27.56
Q9UKE5,Q9UKE5,TNIK,TRAF2 and NCK-interacting protein kinase,10,8.5,154.94
Q9UKF6,Q9UKF6,CPSF3,Cleavage and polyadenylation specificity factor subunit 3,12,22.4,77.485
Q9UKF7,Q9UKF7,PITPNC1,Cytoplasmic phosphatidylinositol transfer protein 1,8,29.5,38.387
Q9UKG1,Q9UKG1,APPL1,DCC-interacting protein 13-alpha,13,21.3,79.663
Q9UKG9,Q9UKG9,CROT,Peroxisomal carnitine O-octanoyltransferase,3,7.8,70.178
Q9UKI8;Q86UE8,Q9UKI8,TLK1,Serine/threonine-protein kinase tousled-like 1,3,5.0,86.699
Q9UKJ3;Q7Z570;A4D1E1,Q9UKJ3,GPATCH8,G patch domain-containing protein 8,5,4.6,164.2
Q9UKK3,Q9UKK3,PARP4,Poly [ADP-ribose] polymerase 4,10,6.6,192.59
Q9UKK9,Q9UKK9,NUDT5,ADP-sugar pyrophosphatase,10,61.6,24.327
Q9UKL0,Q9UKL0,RCOR1,REST corepressor 1,8,21.0,53.327
Q9UKM7,Q9UKM7,MAN1B1,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",2,3.4,79.579
Q9UKM9,Q9UKM9,RALY,RNA-binding protein Raly,11,40.8,32.463
Q9UKN8,Q9UKN8,GTF3C4,General transcription factor 3C polypeptide 4,20,30.3,91.981
Q9UKS6,Q9UKS6,PACSIN3,Protein kinase C and casein kinase substrate in neurons protein 3,3,8.3,48.486
Q9UKU7,Q9UKU7,ACAD8,"Isobutyryl-CoA dehydrogenase, mitochondrial",15,42.9,45.069
Q9UKU9,Q9UKU9,ANGPTL2,Angiopoietin-related protein 2,1,2.4,57.104
Q9UKV3,Q9UKV3,ACIN1,Apoptotic chromatin condensation inducer in the nucleus,24,26.8,151.86
Q9UKV5,Q9UKV5,AMFR,E3 ubiquitin-protein ligase AMFR,2,5.9,72.995
Q9UKV8,Q9UKV8,AGO2,Protein argonaute-2,8,11.4,97.207
Q9UKX7,Q9UKX7,NUP50,Nuclear pore complex protein Nup50,10,29.9,50.144
Q9UKY4,Q9UKY4,POMT2,Protein O-mannosyl-transferase 2,5,9.1,84.213
Q9UKY7,Q9UKY7,CDV3,Protein CDV3 homolog,9,65.5,27.335
Q9UKZ1,Q9UKZ1,CNOT11,CCR4-NOT transcription complex subunit 11,2,5.5,55.215
Q9UL03;Q5JSJ4,Q9UL03,INTS6,Integrator complex subunit 6,10,15.8,100.39
Q9UL12,Q9UL12,SARDH,"Sarcosine dehydrogenase, mitochondrial",3,5.2,101.04
Q9UL15,Q9UL15,BAG5,BAG family molecular chaperone regulator 5,9,26.2,51.199
Q9UL18,Q9UL18,AGO1,Protein argonaute-1,10,14.7,97.213
Q9UL25,Q9UL25,RAB21,Ras-related protein Rab-21,8,48.0,24.347
Q9UL26,Q9UL26,RAB22A,Ras-related protein Rab-22A,8,50.5,21.855
Q9UL40,Q9UL40,ZNF346,Zinc finger protein 346,4,18.0,32.932
Q9UL42,Q9UL42,PNMA2,Paraneoplastic antigen Ma2,6,14.8,41.509
Q9UL45,Q9UL45,BLOC1S6,Biogenesis of lysosome-related organelles complex 1 subunit 6,1,11.0,19.743
Q9UL46,Q9UL46,PSME2,Proteasome activator complex subunit 2,9,41.4,27.401
Q9UL54,Q9UL54,TAOK2,Serine/threonine-protein kinase TAO2,6,6.2,138.25
Q9UL63,Q9UL63,MKLN1,Muskelin,6,9.5,84.767
Q9UL68;O60284,Q9UL68;O60284,MYT1L;ST18,Myelin transcription factor 1-like protein;Suppression of tumorigenicity 18 protein,2,2.4,133.04
Q9ULA0,Q9ULA0,DNPEP,Aspartyl aminopeptidase,5,16.2,52.428
Q9ULC3,Q9ULC3,RAB23,Ras-related protein Rab-23,9,43.0,26.659
Q9ULC4,Q9ULC4,MCTS1,Malignant T-cell-amplified sequence 1,8,58.0,20.555
Q9ULD9,Q9ULD9,ZNF608,Zinc finger protein 608,3,3.3,162.21
Q9ULE3,Q9ULE3,DENND2A,DENN domain-containing protein 2A,5,6.0,113.85
Q9ULE4,Q9ULE4,FAM184B,Protein FAM184B,2,1.8,121.04
Q9ULF5,Q9ULF5,SLC39A10,Zinc transporter ZIP10,5,5.9,94.131
Q9ULG6,Q9ULG6,CCPG1,Cell cycle progression protein 1,5,9.6,87.339
Q9ULH0,Q9ULH0,KIDINS220,Kinase D-interacting substrate of 220 kDa,19,14.5,196.54
Q9ULH1,Q9ULH1,ASAP1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",8,8.4,125.5
Q9ULH7,Q9ULH7,MKL2,MKL/myocardin-like protein 2,6,11.0,118.13
Q9ULI0,Q9ULI0,ATAD2B,ATPase family AAA domain-containing protein 2B,5,4.0,164.91
Q9ULJ3,Q9ULJ3,ZBTB21,Zinc finger and BTB domain-containing protein 21,1,1.8,118.87
Q9ULJ8,Q9ULJ8,PPP1R9A,Neurabin-1,5,5.5,123.34
Q9ULK4,Q9ULK4,MED23,Mediator of RNA polymerase II transcription subunit 23,7,5.8,156.47
Q9ULK5,Q9ULK5,VANGL2,Vang-like protein 2,10,23.6,59.714
Q9ULM3,Q9ULM3,YEATS2,YEATS domain-containing protein 2,6,6.0,150.78
Q9ULP0,Q9ULP0,NDRG4,Protein NDRG4,2,7.1,38.458
Q9ULP9,Q9ULP9,TBC1D24,TBC1 domain family member 24,4,8.9,62.919
Q9ULQ1,Q9ULQ1,TPCN1,Two pore calcium channel protein 1,3,4.4,94.146
Q9ULR0,Q9ULR0,ISY1,Pre-mRNA-splicing factor ISY1 homolog,5,20.0,32.992
Q9ULT8,Q9ULT8,HECTD1,E3 ubiquitin-protein ligase HECTD1,15,8.1,289.38
Q9ULU4,Q9ULU4,ZMYND8,Protein kinase C-binding protein 1,15,18.8,131.69
Q9ULU8,Q9ULU8,CADPS,Calcium-dependent secretion activator 1,17,15.2,152.78
Q9ULV0,Q9ULV0,MYO5B,Unconventional myosin-Vb,5,3.1,213.67
Q9ULV3,Q9ULV3,CIZ1,Cip1-interacting zinc finger protein,2,5.3,100.04
Q9ULV4;Q6QEF8,Q9ULV4,CORO1C,Coronin-1C,17,35.4,53.248
Q9ULW0,Q9ULW0,TPX2,Targeting protein for Xklp2,6,10.2,85.652
Q9ULX3,Q9ULX3,NOB1,RNA-binding protein NOB1,6,16.7,46.674
Q9ULX6,Q9ULX6,AKAP8L,A-kinase anchor protein 8-like,7,12.4,71.639
Q9ULX7,Q9ULX7,CA14,Carbonic anhydrase 14,4,13.4,37.667
