Protein_IDs,Gene_names,Protein_names,3P_1,3P_2,3P_3,SIC_1,SIC_2,SIC_3
Q9BXJ9,NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",46717000,44877000,44484000,77436000,66335000,75325000
Q9BXK5,BCL2L13,Bcl-2-like protein 13,70990000,112750000,74625000,20877000,14692000,18630000
Q9BXM9,FSD1L,FSD1-like protein,25923000,21795000,19304000,23867000,26210000,21315000
Q9BXP2,SLC12A9,Solute carrier family 12 member 9,3079800,2728600,0,4467100,0,0
Q9BXP5,SRRT,Serrate RNA effector molecule homolog,63466000,69698000,78331000,90689000,90272000,116910000
Q9BXR0,QTRT1,Queuine tRNA-ribosyltransferase,12629000,17605000,12362000,16100000,17401000,12836000
Q9BXS4,TMEM59,Transmembrane protein 59,0,0,0,0,0,713980
Q9BXS5;Q9Y6Q5,AP1M1,AP-1 complex subunit mu-1,88542000,71938000,74605000,65935000,63821000,61711000
Q9BXS6,NUSAP1,Nucleolar and spindle-associated protein 1,0,0,0,2047100,2371900,0
Q9BXV9,C14orf142,Uncharacterized protein C14orf142,12534000,12250000,6735300,3492400,7577400,5212700
Q9BXW6,OSBPL1A,Oxysterol-binding protein-related protein 1,1845400,2033300,1897400,3967700,5684400,2509600
Q9BXW7,CECR5,Cat eye syndrome critical region protein 5,19711000,23026000,21278000,34663000,35567000,50016000
Q9BXW9,FANCD2,Fanconi anemia group D2 protein,0,0,0,7054400,5865500,6340100
Q9BXY0,MAK16,Protein MAK16 homolog,13281000,12634000,13051000,32435000,32665000,30501000
Q9BY12,SCAPER,S phase cyclin A-associated protein in the endoplasmic reticulum,0,3395200,6485600,1910200,3956600,1995400
Q9BY32,ITPA,Inosine triphosphate pyrophosphatase,57908000,84116000,89144000,87457000,71730000,90235000
Q9BY41,HDAC8,Histone deacetylase 8,0,0,0,0,0,4136600
Q9BY42,RTFDC1,Protein RTF2 homolog,0,0,1985500,3930900,3674500,3509000
Q9BY43,CHMP4A,Charged multivesicular body protein 4a,7429300,5884600,6367500,3990600,4177400,5218400
Q9BY44,EIF2A,"Eukaryotic translation initiation factor 2A;Eukaryotic translation initiation factor 2A, N-terminally processed",53782000,63893000,45295000,99279000,112230000,80488000
Q9BY49,PECR,Peroxisomal trans-2-enoyl-CoA reductase,3219600,2864300,2692700,5449400,3485000,4547000
Q9BY50,SEC11C,Signal peptidase complex catalytic subunit SEC11C,0,0,937140,0,0,0
Q9BY67,CADM1,Cell adhesion molecule 1,28197000,37372000,28046000,10770000,12572000,8232200
Q9BY76,ANGPTL4,Angiopoietin-related protein 4,0,0,1317300,0,0,0
Q9BY77,POLDIP3,Polymerase delta-interacting protein 3,47161000,52613000,64520000,77513000,79441000,79002000
Q9BYC5,FUT8,"Alpha-(1,6)-fucosyltransferase",0,0,0,0,926490,0
Q9BYC8,MRPL32,"39S ribosomal protein L32, mitochondrial",10250000,8107000,6398000,8200700,7539100,9964800
Q9BYC9,MRPL20,"39S ribosomal protein L20, mitochondrial",20301000,27884000,31801000,40418000,38269000,41925000
Q9BYD1,MRPL13,"39S ribosomal protein L13, mitochondrial",41155000,37952000,36713000,45789000,43157000,38880000
Q9BYD2,MRPL9,"39S ribosomal protein L9, mitochondrial",27513000,25871000,27337000,28950000,27814000,36120000
Q9BYD3,MRPL4,"39S ribosomal protein L4, mitochondrial",45904000,52656000,43047000,48050000,54931000,45162000
Q9BYD6,MRPL1,"39S ribosomal protein L1, mitochondrial",26089000,33625000,37908000,47970000,50027000,52399000
Q9BYE7,PCGF6,Polycomb group RING finger protein 6,0,0,0,0,1285500,0
Q9BYG0,B3GNT5,"Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase",0,0,0,0,0,1779900
Q9BYG3,NIFK,MKI67 FHA domain-interacting nucleolar phosphoprotein,28414000,32495000,23464000,84267000,82852000,65261000
Q9BYG5,PARD6B,Partitioning defective 6 homolog beta,0,0,0,0,0,1569000
Q9BYG7,MRO,Protein maestro,7553300,0,0,0,0,0
Q9BYI3;Q8IXS8,FAM126A,Hyccin,18313000,27682000,19905000,13613000,14166000,12605000
Q9BYJ9,YTHDF1,YTH domain-containing family protein 1,8779300,9087000,5601300,13283000,12734000,10505000
Q9BYK8,HELZ2,Helicase with zinc finger domain 2,1793300,1573100,1750700,0,2373200,1374600
Q9BYN0,SRXN1,Sulfiredoxin-1,0,0,3992000,4888200,0,0
Q9BYN8,MRPS26,"28S ribosomal protein S26, mitochondrial",13148000,14143000,14309000,14294000,22368000,19972000
Q9BYP7,WNK3,Serine/threonine-protein kinase WNK3,3609700,0,2079000,4834200,0,0
Q9BYT3,STK33,Serine/threonine-protein kinase 33,6057100,6248700,5207600,0,4189800,4715100
Q9BYT8,NLN,"Neurolysin, mitochondrial",103900000,91358000,74502000,148360000,158720000,143830000
Q9BYV8,CEP41,Centrosomal protein of 41 kDa,7601300,5220600,6507300,5436100,6140600,4799800
Q9BYV9,BACH2,Transcription regulator protein BACH2,0,0,0,0,0,921090
Q9BYW2,SETD2,Histone-lysine N-methyltransferase SETD2,0,0,0,3075700,4394000,2712000
Q9BZ23,PANK2,"Pantothenate kinase 2, mitochondrial",0,0,0,2684000,0,0
Q9BZ95,WHSC1L1,Histone-lysine N-methyltransferase NSD3,7185400,9058600,9780800,14442000,13730000,14055000
Q9BZC7,ABCA2,ATP-binding cassette sub-family A member 2,985190,976720,1426100,0,0,0
Q9BZD4,NUF2,Kinetochore protein Nuf2,0,0,0,7627700,7720100,6513000
Q9BZE1,MRPL37,"39S ribosomal protein L37, mitochondrial",57821000,69704000,60192000,79675000,69765000,60819000
Q9BZE4,GTPBP4,Nucleolar GTP-binding protein 1,43299000,42037000,40566000,115010000,110240000,101730000
Q9BZE9,ASPSCR1,Tether containing UBX domain for GLUT4,0,0,0,4174600,5103800,4069400
Q9BZF1,OSBPL8,Oxysterol-binding protein-related protein 8,57266000,67800000,57161000,92726000,102540000,82391000
Q9BZF2,OSBPL7,Oxysterol-binding protein-related protein 7,0,0,0,0,0,3557500
Q9BZF3,OSBPL6,Oxysterol-binding protein-related protein 6,3152300,3146200,1908600,2465400,2808500,2669800
Q9BZG1,RAB34,Ras-related protein Rab-34,1626300,0,1339700,0,0,1466600
Q9BZH6,WDR11,WD repeat-containing protein 11,15373000,17079000,13149000,13837000,12450000,9757400
Q9BZI7,UPF3B,Regulator of nonsense transcripts 3B,8038900,7008600,9496700,11046000,11602000,11372000
Q9BZJ0,CRNKL1,Crooked neck-like protein 1,9259400,8013700,8299700,15087000,16231000,15426000
Q9BZK3,NACAP1,Putative nascent polypeptide-associated complex subunit alpha-like protein,4548400,0,0,0,0,0
Q9BZK7;O60907;Q9BQ87,TBL1XR1,F-box-like/WD repeat-containing protein TBL1XR1,51105000,44427000,46085000,40136000,38892000,43956000
Q9BZL1,UBL5,Ubiquitin-like protein 5,2830600,2950600,3456400,2778800,2457100,2840800
Q9BZL4,PPP1R12C,Protein phosphatase 1 regulatory subunit 12C,0,0,0,0,0,1855500
Q9BZL6;Q00532;Q92772;Q8IVW4;Q15139;O76039;Q9NRP7,PRKD2,Serine/threonine-protein kinase D2,5382500,0,4745600,6825300,5124500,5707200
Q9BZM1,PLA2G12A,Group XIIA secretory phospholipase A2,0,0,0,382310,0,0
Q9BZM4,ULBP3,NKG2D ligand 3,0,0,0,0,134540,0
Q9BZQ6,EDEM3,ER degradation-enhancing alpha-mannosidase-like protein 3,3217100,2397500,0,4128500,4709400,2898600
Q9BZQ8,FAM129A,Protein Niban,0,0,476630,0,0,0
Q9BZV1,UBXN6,UBX domain-containing protein 6,9771000,9698600,7531300,4965500,4904300,4847100
Q9BZZ5,API5,Apoptosis inhibitor 5,104950000,114040000,116670000,186070000,216420000,197490000
Q9C005,DPY30,Protein dpy-30 homolog,33973000,21230000,0,0,0,0
Q9C010,PKIB,cAMP-dependent protein kinase inhibitor beta,0,0,0,0,0,1129400
Q9C026,TRIM9,E3 ubiquitin-protein ligase TRIM9,14657000,15531000,11967000,7257900,9955500,6568900
Q9C035;Q9BYJ4,TRIM5,Tripartite motif-containing protein 5,3644000,0,2740600,0,0,0
Q9C037,TRIM4,E3 ubiquitin-protein ligase TRIM4,235370000,320000000,295680000,285860000,284240000,332960000
Q9C040,TRIM2,Tripartite motif-containing protein 2,66637000,61860000,47175000,72143000,89996000,71047000
Q9C099,LRRCC1,Leucine-rich repeat and coiled-coil domain-containing protein 1,0,0,3368900,0,0,0
Q9C0A6,SETD5,SET domain-containing protein 5,0,0,0,0,0,27036000
Q9C0B0,UNK,RING finger protein unkempt homolog,4725800,4121800,5550200,4437900,3751400,5870200
Q9C0B1,FTO,Alpha-ketoglutarate-dependent dioxygenase FTO,63891000,55662000,51705000,75337000,89839000,76296000
Q9C0B7,TANGO6,Transport and Golgi organization protein 6 homolog,0,0,0,0,919090,0
Q9C0C2,TNKS1BP1,182 kDa tankyrase-1-binding protein,50786000,50803000,48381000,42709000,44269000,39661000
Q9C0C4,SEMA4C,Semaphorin-4C,0,0,2091800,3608200,3053100,2909100
Q9C0C9,UBE2O,E2/E3 hybrid ubiquitin-protein ligase UBE2O,21220000,24191000,19771000,33614000,33497000,31801000
Q9C0D3,ZYG11B,Protein zyg-11 homolog B,2339300,0,0,2351200,2578400,0
Q9C0D5,TANC1,Protein TANC1,1747800,0,0,0,0,0
Q9C0D9,EPT1,Ethanolaminephosphotransferase 1,0,0,0,9584200,0,0
Q9C0E2,XPO4,Exportin-4,2103500,2198700,1966900,4242000,4217100,3741900
Q9C0E8,LNP,Protein lunapark,45306000,58298000,46151000,41890000,43193000,39366000
Q9C0F1,CEP44,Centrosomal protein of 44 kDa,21778000,23136000,24524000,27028000,43714000,0
Q9C0H2,TTYH3,Protein tweety homolog 3,4258200,3445600,5603200,3541200,2330700,4339900
Q9C0H9,SRCIN1,SRC kinase signaling inhibitor 1,0,0,0,1727800,1474600,2084300
Q9C0I1,MTMR12,Myotubularin-related protein 12,0,0,0,0,0,1512000
Q9C0J8,WDR33,pre-mRNA 3 end processing protein WDR33,4519200,0,6023400,6460600,7080700,10434000
Q9GZL7,WDR12,Ribosome biogenesis protein WDR12,27980000,33153000,27369000,72144000,87232000,62432000
Q9GZM5,YIPF3,"Protein YIPF3;Protein YIPF3, 36 kDa form III",1662100,0,0,2299300,1536500,1360500
Q9GZM7,TINAGL1,Tubulointerstitial nephritis antigen-like,0,0,0,0,0,1222100
Q9GZN1,ACTR6,Actin-related protein 6,0,0,0,0,0,2073900
Q9GZN7,ROGDI,Protein rogdi homolog,2567100,2269800,0,0,0,0
Q9GZN8,C20orf27,UPF0687 protein C20orf27,41836000,29657000,32869000,71679000,72241000,72814000
Q9GZP4,PITHD1,PITH domain-containing protein 1,21601000,20808000,18964000,9563000,13917000,10445000
Q9GZP9,DERL2,Derlin-2,2723900,0,0,0,0,0
Q9GZQ3,COMMD5,COMM domain-containing protein 5,5263900,7319800,5118900,0,4674400,3854900
Q9GZR2,REXO4,RNA exonuclease 4,3195200,4706700,3681600,11061000,8974700,7569800
Q9GZR7,DDX24,ATP-dependent RNA helicase DDX24,28875000,32228000,32741000,50299000,59667000,49804000
Q9GZS1,POLR1E,DNA-directed RNA polymerase I subunit RPA49,0,0,6234700,0,0,1834800
Q9GZS3,WDR61,"WD repeat-containing protein 61;WD repeat-containing protein 61, N-terminally processed",95789000,79962000,75562000,89616000,99411000,80561000
Q9GZT3,SLIRP,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",27099000,35287000,33883000,49979000,37971000,45393000
Q9GZT4,SRR,Serine racemase,98203000,73520000,70581000,56637000,59631000,65177000
Q9GZT6,CCDC90B,"Coiled-coil domain-containing protein 90B, mitochondrial",7817700,7637800,7606800,5036600,7470100,5454500
Q9GZT8,NIF3L1,NIF3-like protein 1,20213000,11818000,16927000,13255000,13913000,9614200
Q9GZT9;Q9H6Z9,EGLN1,Egl nine homolog 1,12584000,7664200,11617000,6846400,8944700,6557800
Q9GZU1,MCOLN1,Mucolipin-1,0,0,2805700,0,0,0
Q9GZU7,CTDSP1,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,1081200,1797900,0,0,0,0
Q9GZU8,FAM192A,Protein FAM192A,12197000,12350000,19097000,7653700,11229000,11992000
Q9GZV5,WWTR1,WW domain-containing transcription regulator protein 1,2816400,4118400,3112600,0,0,0
Q9GZY8,MFF,Mitochondrial fission factor,5309400,6465200,4579200,0,2663100,3005800
Q9GZZ1,NAA50,N-alpha-acetyltransferase 50,31574000,33073000,36262000,54081000,56253000,53606000
Q9GZZ9,UBA5,Ubiquitin-like modifier-activating enzyme 5,18652000,13960000,12399000,20317000,15475000,16166000
Q9H000,MKRN2,Probable E3 ubiquitin-protein ligase makorin-2,8431100,0,7677300,6271700,7045600,8673500
Q9H008,LHPP,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,10632000,9031800,6066200,6417900,7031200,7164400
Q9H019,MTFR1L,Mitochondrial fission regulator 1-like,36255000,35903000,41875000,41874000,39097000,37617000
Q9H061,TMEM126A,Transmembrane protein 126A,4780700,3510700,6162000,2741900,3023700,4579600
Q9H074,PAIP1,Polyadenylate-binding protein-interacting protein 1,38291000,29689000,27075000,34854000,29828000,23374000
Q9H078,CLPB,Caseinolytic peptidase B protein homolog,15233000,17670000,19079000,17937000,21533000,19334000
Q9H081,MIS12,Protein MIS12 homolog,0,0,0,0,0,1161500
Q9H082,RAB33B,Ras-related protein Rab-33B,5723100,5433100,5005800,7403800,6740500,6984400
Q9H089,LSG1,Large subunit GTPase 1 homolog,5654300,5571400,4202400,6758600,6831300,7644600
Q9H098,FAM107B,Protein FAM107B,9319700,8587300,6272000,4314000,5416200,4985600
Q9H0A0,NAT10,N-acetyltransferase 10,30639000,29077000,28529000,54386000,56757000,64589000
Q9H0A8,COMMD4,COMM domain-containing protein 4,11631000,12078000,11324000,12550000,0,10789000
Q9H0B3,KIAA1683,Uncharacterized protein KIAA1683,0,0,0,0,0,19117000
Q9H0B6,KLC2,Kinesin light chain 2,35623000,37406000,37287000,39047000,42472000,46598000
Q9H0C5,BTBD1,BTB/POZ domain-containing protein 1,0,0,0,0,936870,0
Q9H0C8,ILKAP,Integrin-linked kinase-associated serine/threonine phosphatase 2C,6592900,5330200,6954100,6972300,6915200,8579500
Q9H0D6,XRN2,5-3 exoribonuclease 2,42248000,50016000,52448000,75948000,66397000,74718000
Q9H0E2,TOLLIP,Toll-interacting protein,56876000,57490000,44665000,19838000,21958000,26451000
Q9H0E3,SAP130,Histone deacetylase complex subunit SAP130,0,0,0,3403000,2593700,3251400
Q9H0F7,ARL6,ADP-ribosylation factor-like protein 6,1776000,0,0,2693700,0,2484400
Q9H0H0,INTS2,Integrator complex subunit 2,0,2847800,0,4584800,4482400,5059500
Q9H0H5,RACGAP1,Rac GTPase-activating protein 1,2598700,0,0,6793400,3802900,4719300
Q9H0K1,SIK2,Serine/threonine-protein kinase SIK2,4970000,4770300,4034500,4386000,4878400,3831600
Q9H0L4,CSTF2T,Cleavage stimulation factor subunit 2 tau variant,4518100,5490000,4776400,8266600,9964700,10093000
Q9H0P0,NT5C3A,Cytosolic 5-nucleotidase 3A,12920000,14529000,11601000,13374000,12553000,11651000
Q9H0Q0,FAM49A,Protein FAM49A,5764300,6564200,4143000,7926000,6525100,8546000
Q9H0Q3,FXYD6,FXYD domain-containing ion transport regulator 6,0,0,0,0,1972000,0
Q9H0R1,AP5M1,AP-5 complex subunit mu-1,0,0,0,0,0,1316800
Q9H0R3,TMEM222,Transmembrane protein 222,0,1878800,0,0,0,0
Q9H0R4,HDHD2,Haloacid dehalogenase-like hydrolase domain-containing protein 2,0,0,0,8857600,0,0
Q9H0R6,QRSL1,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial",8216300,11260000,7050000,13325000,14556000,14218000
Q9H0S4,DDX47,Probable ATP-dependent RNA helicase DDX47,5996100,4790600,5932200,23728000,19314000,17432000
Q9H0U3,MAGT1,Magnesium transporter protein 1,9463000,9587800,9692900,10549000,11118000,8782300
Q9H0U4;Q92928;P59190,RAB1B,Ras-related protein Rab-1B,74469000,109350000,81116000,59313000,62458000,56653000
Q9H0U6,MRPL18,"39S ribosomal protein L18, mitochondrial",3876500,3816600,0,4902000,3814700,5120600
Q9H0U9,TSPYL1,Testis-specific Y-encoded-like protein 1,0,293200000,150980000,17916000,13224000,90893000
Q9H0V1,TMEM168,Transmembrane protein 168,0,0,0,0,0,5185900
Q9H0V9,LMAN2L,VIP36-like protein,10890000,9775000,8454300,9270100,10699000,0
Q9H0W8,SMG9,Protein SMG9,2155500,2685500,0,0,0,0
Q9H0W9,C11orf54,Ester hydrolase C11orf54,14846000,17773000,12040000,23158000,23325000,16629000
Q9H0X4,ITFG3,Protein ITFG3,0,0,0,0,3015700,0
Q9H0X9,OSBPL5,Oxysterol-binding protein-related protein 5,22568000,22033000,18992000,11026000,9564600,8591300
Q9H106,SIRPD,Signal-regulatory protein delta,0,0,0,0,35744000,0
Q9H115,NAPB,Beta-soluble NSF attachment protein,14623000,10053000,10167000,42068000,46133000,33777000
Q9H173,SIL1,Nucleotide exchange factor SIL1,0,3442300,0,0,2078200,0
Q9H1A3,METTL9,Methyltransferase-like protein 9,3091700,0,0,3301300,3088600,2874600
Q9H1A4,ANAPC1,Anaphase-promoting complex subunit 1,2735300,2744100,0,3693800,3581200,3161100
Q9H1B7,IRF2BPL,Interferon regulatory factor 2-binding protein-like,38090000,31671000,57020000,34788000,26044000,31332000
Q9H1D9,POLR3F,DNA-directed RNA polymerase III subunit RPC6,5149300,3395600,4948100,9659700,6693200,6724700
Q9H1E3,NUCKS1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,32841000,19374000,22768000,19416000,25126000,19059000
Q9H1E5,TMX4,Thioredoxin-related transmembrane protein 4,11456000,10914000,11399000,6875100,5031900,4844600
Q9H1I8,ASCC2,Activating signal cointegrator 1 complex subunit 2,6822800,6589400,3963600,7605500,8339500,7047400
Q9H1J7,WNT5B,Protein Wnt-5b,0,0,0,1716800,0,0
Q9H1K0,RBSN,Rabenosyn-5,11312000,9279700,9040000,11707000,10795000,9828700
Q9H1K1,ISCU,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial",5858100,5952300,7149700,6299300,6523600,5470600
Q9H1P3,OSBPL2,Oxysterol-binding protein-related protein 2,22877000,20604000,17964000,18163000,19064000,18687000
Q9H1U4,MEGF9,Multiple epidermal growth factor-like domains protein 9,2746700,5264500,0,0,0,0
Q9H1Y0,ATG5,Autophagy protein 5,3525500,0,3548600,4853300,4836100,0
Q9H1Z4,WDR13,WD repeat-containing protein 13,2446900,0,0,0,1265400,0
Q9H223,EHD4,EH domain-containing protein 4,4678400,7264100,4987100,9138000,9673200,6384500
Q9H227,GBA3,Cytosolic beta-glucosidase,0,0,0,26574000,22881000,26027000
Q9H237,PORCN,Protein-serine O-palmitoleoyltransferase porcupine,0,0,0,0,0,1900800
Q9H254,SPTBN4,"Spectrin beta chain, non-erythrocytic 4",0,0,0,0,0,0
Q9H267,VPS33B,Vacuolar protein sorting-associated protein 33B,32502000,29311000,24693000,40404000,34773000,34793000
Q9H269,VPS16,Vacuolar protein sorting-associated protein 16 homolog,52749000,54078000,50456000,44674000,46843000,36569000
Q9H270,VPS11,Vacuolar protein sorting-associated protein 11 homolog,28303000,27843000,28428000,20441000,17903000,18179000
Q9H299,SH3BGRL3,SH3 domain-binding glutamic acid-rich-like protein 3,15373000,23169000,20405000,14537000,15933000,32304000
Q9H2B2,SYT4,Synaptotagmin-4,0,0,0,0,918120,0
Q9H2C0,GAN,Gigaxonin,2727700,2254900,2907000,3382400,3289300,2877400
Q9H2C2,ARV1,Protein ARV1,0,0,0,0,0,625470
Q9H2D6,TRIOBP,TRIO and F-actin-binding protein,5360600,4978200,6829800,3830200,4245500,3040500
Q9H2G2,SLK,STE20-like serine/threonine-protein kinase,37003000,38613000,24315000,27217000,30982000,23738000
Q9H2H8,PPIL3,Peptidyl-prolyl cis-trans isomerase-like 3,36075000,38154000,26780000,26381000,32784000,32222000
Q9H2J4,PDCL3,Phosducin-like protein 3,77763000,63134000,62477000,72638000,92818000,82599000
Q9H2J7,SLC6A15,Sodium-dependent neutral amino acid transporter B(0)AT2,0,0,0,0,0,590310
Q9H2K0,MTIF3,"Translation initiation factor IF-3, mitochondrial",5793200,6014500,7887000,6464000,5991200,5721100
Q9H2K8,TAOK3,Serine/threonine-protein kinase TAO3,0,0,0,855650,0,0
Q9H2M9,RAB3GAP2,Rab3 GTPase-activating protein non-catalytic subunit,130090000,109640000,116760000,105510000,108030000,95745000
Q9H2P0,ADNP,Activity-dependent neuroprotector homeobox protein,42155000,39583000,53152000,91860000,79573000,84530000
Q9H2P9,DPH5,Diphthine synthase,7207600,8326200,6189800,10411000,14396000,10204000
Q9H2U1,DHX36,ATP-dependent RNA helicase DHX36,20761000,22931000,13621000,27005000,34093000,21436000
Q9H2U2,PPA2,"Inorganic pyrophosphatase 2, mitochondrial",186640000,229310000,247600000,209770000,184250000,199990000
Q9H2W6,MRPL46,"39S ribosomal protein L46, mitochondrial",36089000,30947000,32658000,37901000,36664000,36128000
Q9H2Y7,ZNF106,Zinc finger protein 106,0,0,0,0,769020,0
Q9H307,PNN,Pinin,87624000,87912000,96362000,123660000,126750000,135460000
Q9H336,CRISPLD1,Cysteine-rich secretory protein LCCL domain-containing 1,95419000,103510000,84850000,12812000,11634000,15107000
Q9H343,OR51I1,Olfactory receptor 51I1,0,0,0,0,0,1820800
Q9H3C7,GGNBP2,Gametogenetin-binding protein 2,0,0,0,0,0,50018000
Q9H3G5,CPVL,Probable serine carboxypeptidase CPVL,51518000,59639000,54280000,40648000,36709000,38902000
Q9H3H3,C11orf68,UPF0696 protein C11orf68,17450000,12329000,12880000,6935400,7813400,8114900
Q9H3K2,GHITM,Growth hormone-inducible transmembrane protein,0,6235100,7003900,12184000,9896400,8629000
Q9H3K6,BOLA2,BolA-like protein 2,68271000,38700000,41598000,48915000,68916000,60709000
Q9H3M7,TXNIP,Thioredoxin-interacting protein,0,0,0,443150,0,0
Q9H3N1,TMX1,Thioredoxin-related transmembrane protein 1,105180000,114300000,141980000,212930000,191020000,213890000
Q9H3P2,NELFA,Negative elongation factor A,14560000,15967000,14461000,20362000,24721000,21088000
Q9H3P7,ACBD3,Golgi resident protein GCP60,45466000,50315000,46163000,33178000,40129000,26320000
Q9H3Q1,CDC42EP4,Cdc42 effector protein 4,15908000,10054000,15183000,7381000,8312300,11792000
Q9H3R5,CENPH,Centromere protein H,0,0,0,3493500,4416300,3650900
Q9H3S7,PTPN23,Tyrosine-protein phosphatase non-receptor type 23,51453000,44704000,39631000,37646000,41398000,37794000
Q9H3U1,UNC45A,Protein unc-45 homolog A,23202000,26929000,20756000,24158000,25433000,21598000
Q9H3Y8,PPDPF,Pancreatic progenitor cell differentiation and proliferation factor,0,0,0,0,2376900,0
Q9H3Z4,DNAJC5,DnaJ homolog subfamily C member 5,51166000,52356000,73803000,34315000,34295000,23400000
Q9H410,DSN1,Kinetochore-associated protein DSN1 homolog,0,0,0,3162000,2310100,0
Q9H425,C1orf198,Uncharacterized protein C1orf198,6522000,5467100,5419900,5680800,4122000,7811600
Q9H444;P59074,CHMP4B,Charged multivesicular body protein 4b,44677000,39778000,48458000,43170000,31640000,45020000
Q9H446,RWDD1,RWD domain-containing protein 1,5318600,3735000,3497600,3925700,3801800,2649700
Q9H467,CUEDC2,CUE domain-containing protein 2,0,0,0,0,2493500,0
Q9H479,FN3K,Fructosamine-3-kinase,24664000,14000000,18376000,15983000,17271000,16601000
Q9H488,POFUT1,GDP-fucose protein O-fucosyltransferase 1,81854000,78878000,83659000,58084000,54880000,57114000
Q9H490,PIGU,Phosphatidylinositol glycan anchor biosynthesis class U protein,0,0,0,0,0,3366700
Q9H492,MAP1LC3A,Microtubule-associated proteins 1A/1B light chain 3A,17665000,19420000,12864000,19255000,21501000,19454000
Q9H497,TOR3A,Torsin-3A,0,0,0,0,2811100,0
Q9H4A3;Q96J92,WNK1,Serine/threonine-protein kinase WNK1,33318000,31260000,27879000,25754000,27093000,29011000
Q9H4A4,RNPEP,Aminopeptidase B,113020000,104110000,88882000,60746000,80538000,58737000
Q9H4A5,GOLPH3L,Golgi phosphoprotein 3-like,4503300,0,0,0,0,0
Q9H4A6,GOLPH3,Golgi phosphoprotein 3,17903000,17042000,12552000,21163000,21164000,21419000
Q9H4B0,OSGEPL1,"Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial",3372500,4900900,3955400,8253100,6365400,4761900
Q9H4F8,SMOC1,SPARC-related modular calcium-binding protein 1,0,0,0,2447600,0,3108000
Q9H4G0,EPB41L1,Band 4.1-like protein 1,26931000,29335000,18353000,16954000,19476000,15861000
Q9H4G4,GLIPR2,Golgi-associated plant pathogenesis-related protein 1,30942000,29739000,42769000,18734000,16619000,25663000
Q9H4I3,TRABD,TraB domain-containing protein,252220,0,0,0,0,0
Q9H4L4,SENP3,Sentrin-specific protease 3,7258900,11168000,9898700,8884900,10768000,12171000
Q9H4L5,OSBPL3,Oxysterol-binding protein-related protein 3,7821600,8593900,6174400,7339500,0,0
Q9H4L7,SMARCAD1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1,3587600,5097600,3400000,12772000,16482000,11743000
Q9H4M9,EHD1,EH domain-containing protein 1,48079000,57079000,37958000,59054000,65234000,57067000
Q9H4W6,EBF3,Transcription factor COE3,0,0,0,2455700,2639700,2682600
Q9H4Z3,PCIF1,Phosphorylated CTD-interacting factor 1,5201800,6257700,6745900,6112600,7799500,7597200
Q9H501,ESF1,ESF1 homolog,6893600,9997400,7639900,23487000,23695000,21515000
Q9H553,ALG2,"Alpha-1,3/1,6-mannosyltransferase ALG2",29467000,33759000,36042000,22460000,14986000,15072000
Q9H582,ZNF644,Zinc finger protein 644,0,1346400,0,2031600,2824800,2050900
Q9H583,HEATR1,"HEAT repeat-containing protein 1;HEAT repeat-containing protein 1, N-terminally processed",22394000,23373000,26083000,72108000,63702000,68493000
Q9H5H4,ZNF768,Zinc finger protein 768,0,0,0,3254400,3009500,3045200
Q9H5I1,SUV39H2,Histone-lysine N-methyltransferase SUV39H2,0,0,0,4321900,0,3435800
Q9H5J8,TAF1D,TATA box-binding protein-associated factor RNA polymerase I subunit D,0,0,0,5023500,0,4864600
Q9H5K3,POMK,Protein O-mannose kinase,7232000,8289200,15019000,14376000,13185000,8825400
Q9H5N1,RABEP2,Rab GTPase-binding effector protein 2,675140,0,0,325600,0,414790
Q9H5Q4,TFB2M,"Dimethyladenosine transferase 2, mitochondrial",0,1910600,0,5244400,7096300,2020400
Q9H5V8,CDCP1,CUB domain-containing protein 1,4882400,4852300,3465600,0,0,0
Q9H5V9,CXorf56,UPF0428 protein CXorf56,0,0,0,4747500,5595500,3753600
Q9H5X1,FAM96A,MIP18 family protein FAM96A,0,0,0,0,0,1551500
Q9H5Z1,DHX35,Probable ATP-dependent RNA helicase DHX35,0,0,0,0,2272000,0
Q9H6D7,HAUS4,HAUS augmin-like complex subunit 4,0,0,0,2414900,2872700,2679600
Q9H6E4,CCDC134,Coiled-coil domain-containing protein 134,7265700,8184900,6016900,15357000,17115000,12724000
Q9H6F5,CCDC86,Coiled-coil domain-containing protein 86,2250900,0,0,5451800,3521800,5322900
Q9H6H4,REEP4,Receptor expression-enhancing protein 4,0,0,0,0,1289500,0
Q9H6K1,C6orf106,Uncharacterized protein C6orf106,0,0,0,0,0,579290
Q9H6K4,OPA3,Optic atrophy 3 protein,0,8242100,7126600,5869400,4125400,7468000
Q9H6K5,PRR36,Proline-rich protein 36,6434400,5562500,6613400,4512900,4745800,4161700
