Protein_IDs,Gene_names,Protein_names
Q9BYP7,WNK3,Serine/threonine-protein kinase WNK3
Q9BYT3,STK33,Serine/threonine-protein kinase 33
Q9BYT8,NLN,"Neurolysin, mitochondrial"
Q9BYV8,CEP41,Centrosomal protein of 41 kDa
Q9BYW2,SETD2,Histone-lysine N-methyltransferase SETD2
Q9BZ95,WHSC1L1,Histone-lysine N-methyltransferase NSD3
Q9BZC7,ABCA2,ATP-binding cassette sub-family A member 2
Q9BZD4,NUF2,Kinetochore protein Nuf2
Q9BZE1,MRPL37,"39S ribosomal protein L37, mitochondrial"
Q9BZE4,GTPBP4,Nucleolar GTP-binding protein 1
Q9BZE9,ASPSCR1,Tether containing UBX domain for GLUT4
Q9BZF1,OSBPL8,Oxysterol-binding protein-related protein 8
Q9BZF3,OSBPL6,Oxysterol-binding protein-related protein 6
Q9BZG1,RAB34,Ras-related protein Rab-34
Q9BZH6,WDR11,WD repeat-containing protein 11
Q9BZI7,UPF3B,Regulator of nonsense transcripts 3B
Q9BZJ0,CRNKL1,Crooked neck-like protein 1
Q9BZK7;O60907;Q9BQ87,TBL1XR1,F-box-like/WD repeat-containing protein TBL1XR1
Q9BZL1,UBL5,Ubiquitin-like protein 5
Q9BZL6;Q00532;Q92772;Q8IVW4;Q15139;O76039;Q9NRP7,PRKD2,Serine/threonine-protein kinase D2
Q9BZQ6,EDEM3,ER degradation-enhancing alpha-mannosidase-like protein 3
Q9BZV1,UBXN6,UBX domain-containing protein 6
Q9BZZ5,API5,Apoptosis inhibitor 5
Q9C026,TRIM9,E3 ubiquitin-protein ligase TRIM9
Q9C037,TRIM4,E3 ubiquitin-protein ligase TRIM4
Q9C040,TRIM2,Tripartite motif-containing protein 2
Q9C0B0,UNK,RING finger protein unkempt homolog
Q9C0B1,FTO,Alpha-ketoglutarate-dependent dioxygenase FTO
Q9C0C2,TNKS1BP1,182 kDa tankyrase-1-binding protein
Q9C0C4,SEMA4C,Semaphorin-4C
Q9C0C9,UBE2O,E2/E3 hybrid ubiquitin-protein ligase UBE2O
Q9C0D3,ZYG11B,Protein zyg-11 homolog B
Q9C0E2,XPO4,Exportin-4
Q9C0E8,LNP,Protein lunapark
Q9C0F1,CEP44,Centrosomal protein of 44 kDa
Q9C0H2,TTYH3,Protein tweety homolog 3
Q9C0H9,SRCIN1,SRC kinase signaling inhibitor 1
Q9C0J8,WDR33,pre-mRNA 3 end processing protein WDR33
Q9GZL7,WDR12,Ribosome biogenesis protein WDR12
Q9GZM5,YIPF3,"Protein YIPF3;Protein YIPF3, 36 kDa form III"
Q9GZN8,C20orf27,UPF0687 protein C20orf27
Q9GZP4,PITHD1,PITH domain-containing protein 1
Q9GZQ3,COMMD5,COMM domain-containing protein 5
Q9GZR2,REXO4,RNA exonuclease 4
Q9GZR7,DDX24,ATP-dependent RNA helicase DDX24
Q9GZS3,WDR61,"WD repeat-containing protein 61;WD repeat-containing protein 61, N-terminally processed"
Q9GZT3,SLIRP,"SRA stem-loop-interacting RNA-binding protein, mitochondrial"
Q9GZT4,SRR,Serine racemase
Q9GZT6,CCDC90B,"Coiled-coil domain-containing protein 90B, mitochondrial"
Q9GZT8,NIF3L1,NIF3-like protein 1
Q9GZT9;Q9H6Z9,EGLN1,Egl nine homolog 1
Q9GZU8,FAM192A,Protein FAM192A
Q9GZV5,WWTR1,WW domain-containing transcription regulator protein 1
Q9GZY8,MFF,Mitochondrial fission factor
Q9GZZ1,NAA50,N-alpha-acetyltransferase 50
Q9GZZ9,UBA5,Ubiquitin-like modifier-activating enzyme 5
Q9H000,MKRN2,Probable E3 ubiquitin-protein ligase makorin-2
Q9H008,LHPP,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase
Q9H019,MTFR1L,Mitochondrial fission regulator 1-like
Q9H061,TMEM126A,Transmembrane protein 126A
Q9H074,PAIP1,Polyadenylate-binding protein-interacting protein 1
Q9H078,CLPB,Caseinolytic peptidase B protein homolog
Q9H082,RAB33B,Ras-related protein Rab-33B
Q9H089,LSG1,Large subunit GTPase 1 homolog
Q9H098,FAM107B,Protein FAM107B
Q9H0A0,NAT10,N-acetyltransferase 10
Q9H0A8,COMMD4,COMM domain-containing protein 4
Q9H0B6,KLC2,Kinesin light chain 2
Q9H0C8,ILKAP,Integrin-linked kinase-associated serine/threonine phosphatase 2C
Q9H0D6,XRN2,5-3 exoribonuclease 2
Q9H0E2,TOLLIP,Toll-interacting protein
Q9H0E3,SAP130,Histone deacetylase complex subunit SAP130
Q9H0F7,ARL6,ADP-ribosylation factor-like protein 6
Q9H0H0,INTS2,Integrator complex subunit 2
Q9H0H5,RACGAP1,Rac GTPase-activating protein 1
Q9H0K1,SIK2,Serine/threonine-protein kinase SIK2
Q9H0L4,CSTF2T,Cleavage stimulation factor subunit 2 tau variant
Q9H0P0,NT5C3A,Cytosolic 5-nucleotidase 3A
Q9H0Q0,FAM49A,Protein FAM49A
Q9H0R6,QRSL1,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial"
Q9H0S4,DDX47,Probable ATP-dependent RNA helicase DDX47
Q9H0U3,MAGT1,Magnesium transporter protein 1
Q9H0U4;Q92928;P59190,RAB1B,Ras-related protein Rab-1B
Q9H0U6,MRPL18,"39S ribosomal protein L18, mitochondrial"
Q9H0U9,TSPYL1,Testis-specific Y-encoded-like protein 1
Q9H0V9,LMAN2L,VIP36-like protein
Q9H0W9,C11orf54,Ester hydrolase C11orf54
Q9H0X9,OSBPL5,Oxysterol-binding protein-related protein 5
Q9H115,NAPB,Beta-soluble NSF attachment protein
Q9H1A3,METTL9,Methyltransferase-like protein 9
Q9H1A4,ANAPC1,Anaphase-promoting complex subunit 1
Q9H1B7,IRF2BPL,Interferon regulatory factor 2-binding protein-like
Q9H1D9,POLR3F,DNA-directed RNA polymerase III subunit RPC6
Q9H1E3,NUCKS1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1
Q9H1E5,TMX4,Thioredoxin-related transmembrane protein 4
Q9H1I8,ASCC2,Activating signal cointegrator 1 complex subunit 2
Q9H1K0,RBSN,Rabenosyn-5
Q9H1K1,ISCU,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial"
Q9H1P3,OSBPL2,Oxysterol-binding protein-related protein 2
Q9H1Y0,ATG5,Autophagy protein 5
Q9H223,EHD4,EH domain-containing protein 4
Q9H227,GBA3,Cytosolic beta-glucosidase
Q9H267,VPS33B,Vacuolar protein sorting-associated protein 33B
Q9H269,VPS16,Vacuolar protein sorting-associated protein 16 homolog
Q9H270,VPS11,Vacuolar protein sorting-associated protein 11 homolog
Q9H299,SH3BGRL3,SH3 domain-binding glutamic acid-rich-like protein 3
Q9H2C0,GAN,Gigaxonin
Q9H2D6,TRIOBP,TRIO and F-actin-binding protein
Q9H2G2,SLK,STE20-like serine/threonine-protein kinase
Q9H2H8,PPIL3,Peptidyl-prolyl cis-trans isomerase-like 3
Q9H2J4,PDCL3,Phosducin-like protein 3
Q9H2K0,MTIF3,"Translation initiation factor IF-3, mitochondrial"
Q9H2M9,RAB3GAP2,Rab3 GTPase-activating protein non-catalytic subunit
Q9H2P0,ADNP,Activity-dependent neuroprotector homeobox protein
Q9H2P9,DPH5,Diphthine synthase
Q9H2U1,DHX36,ATP-dependent RNA helicase DHX36
Q9H2U2,PPA2,"Inorganic pyrophosphatase 2, mitochondrial"
Q9H2W6,MRPL46,"39S ribosomal protein L46, mitochondrial"
Q9H307,PNN,Pinin
Q9H336,CRISPLD1,Cysteine-rich secretory protein LCCL domain-containing 1
Q9H3G5,CPVL,Probable serine carboxypeptidase CPVL
Q9H3H3,C11orf68,UPF0696 protein C11orf68
Q9H3K2,GHITM,Growth hormone-inducible transmembrane protein
Q9H3K6,BOLA2,BolA-like protein 2
Q9H3N1,TMX1,Thioredoxin-related transmembrane protein 1
Q9H3P2,NELFA,Negative elongation factor A
Q9H3P7,ACBD3,Golgi resident protein GCP60
Q9H3Q1,CDC42EP4,Cdc42 effector protein 4
Q9H3R5,CENPH,Centromere protein H
Q9H3S7,PTPN23,Tyrosine-protein phosphatase non-receptor type 23
Q9H3U1,UNC45A,Protein unc-45 homolog A
Q9H3Z4,DNAJC5,DnaJ homolog subfamily C member 5
Q9H425,C1orf198,Uncharacterized protein C1orf198
Q9H444;P59074,CHMP4B,Charged multivesicular body protein 4b
Q9H446,RWDD1,RWD domain-containing protein 1
Q9H479,FN3K,Fructosamine-3-kinase
Q9H488,POFUT1,GDP-fucose protein O-fucosyltransferase 1
Q9H492,MAP1LC3A,Microtubule-associated proteins 1A/1B light chain 3A
Q9H4A3;Q96J92,WNK1,Serine/threonine-protein kinase WNK1
Q9H4A4,RNPEP,Aminopeptidase B
Q9H4A6,GOLPH3,Golgi phosphoprotein 3
Q9H4B0,OSGEPL1,"Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial"
Q9H4G0,EPB41L1,Band 4.1-like protein 1
Q9H4G4,GLIPR2,Golgi-associated plant pathogenesis-related protein 1
Q9H4L4,SENP3,Sentrin-specific protease 3
Q9H4L5,OSBPL3,Oxysterol-binding protein-related protein 3
Q9H4L7,SMARCAD1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1
Q9H4M9,EHD1,EH domain-containing protein 1
Q9H4W6,EBF3,Transcription factor COE3
Q9H4Z3,PCIF1,Phosphorylated CTD-interacting factor 1
Q9H501,ESF1,ESF1 homolog
Q9H553,ALG2,"Alpha-1,3/1,6-mannosyltransferase ALG2"
Q9H582,ZNF644,Zinc finger protein 644
Q9H583,HEATR1,"HEAT repeat-containing protein 1;HEAT repeat-containing protein 1, N-terminally processed"
Q9H5H4,ZNF768,Zinc finger protein 768
Q9H5K3,POMK,Protein O-mannose kinase
Q9H5N1,RABEP2,Rab GTPase-binding effector protein 2
Q9H5Q4,TFB2M,"Dimethyladenosine transferase 2, mitochondrial"
Q9H5V8,CDCP1,CUB domain-containing protein 1
Q9H5V9,CXorf56,UPF0428 protein CXorf56
Q9H6D7,HAUS4,HAUS augmin-like complex subunit 4
Q9H6E4,CCDC134,Coiled-coil domain-containing protein 134
Q9H6F5,CCDC86,Coiled-coil domain-containing protein 86
Q9H6K4,OPA3,Optic atrophy 3 protein
Q9H6K5,PRR36,Proline-rich protein 36
Q9H6L5,FAM134B,Protein FAM134B
Q9H6P5,TASP1,Threonine aspartase 1;Threonine aspartase subunit alpha;Threonine aspartase subunit beta
Q9H6Q4,NARFL,Cytosolic Fe-S cluster assembly factor NARFL
Q9H6R0,DHX33,Putative ATP-dependent RNA helicase DHX33
Q9H6R3,ACSS3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial"
Q9H6R4,NOL6,Nucleolar protein 6
Q9H6R6,ZDHHC6,Palmitoyltransferase ZDHHC6
Q9H6R7,C2orf44,WD repeat and coiled-coil-containing protein C2orf44
Q9H6S0,YTHDC2,Probable ATP-dependent RNA helicase YTHDC2
Q9H6T3,RPAP3,RNA polymerase II-associated protein 3
Q9H6U6,BCAS3,Breast carcinoma-amplified sequence 3
Q9H6U8,ALG9,"Alpha-1,2-mannosyltransferase ALG9"
Q9H6V9,C2orf43,UPF0554 protein C2orf43
Q9H6X2,ANTXR1,Anthrax toxin receptor 1
Q9H6Z4,RANBP3,Ran-binding protein 3
Q9H7B2,RPF2,Ribosome production factor 2 homolog
Q9H7B4,SMYD3,Histone-lysine N-methyltransferase SMYD3
Q9H7C9,AAMDC,Mth938 domain-containing protein
Q9H7D7,WDR26,WD repeat-containing protein 26
Q9H7E9,C8orf33,UPF0488 protein C8orf33
Q9H7P6,MVB12B,Multivesicular body subunit 12B
Q9H7X7,IFT22,Intraflagellar transport protein 22 homolog
Q9H7Z7,PTGES2,Prostaglandin E synthase 2;Prostaglandin E synthase 2 truncated form
Q9H832,UBE2Z,Ubiquitin-conjugating enzyme E2 Z
Q9H845,ACAD9,"Acyl-CoA dehydrogenase family member 9, mitochondrial"
Q9H857,NT5DC2,5-nucleotidase domain-containing protein 2
Q9H8G2,CAAP1,Caspase activity and apoptosis inhibitor 1
Q9H8H0,NOL11,Nucleolar protein 11
Q9H8M2,BRD9,Bromodomain-containing protein 9
Q9H8M5;Q6P4Q7,CNNM2,Metal transporter CNNM2
Q9H8T0,AKTIP,AKT-interacting protein
Q9H8U3,ZFAND3,AN1-type zinc finger protein 3
Q9H8V3,ECT2,Protein ECT2
Q9H8Y5,ANKZF1,Ankyrin repeat and zinc finger domain-containing protein 1
Q9H8Y8,GORASP2,Golgi reassembly-stacking protein 2
Q9H902,REEP1,Receptor expression-enhancing protein 1
Q9H910,HN1L,Hematological and neurological expressed 1-like protein
Q9H936;Q9H1K4,SLC25A22,Mitochondrial glutamate carrier 1
Q9H944,MED20,Mediator of RNA polymerase II transcription subunit 20
Q9H974,QTRTD1,Queuine tRNA-ribosyltransferase subunit QTRTD1
Q9H993,ARMT1,Protein-glutamate O-methyltransferase
Q9H9A5,CNOT10,CCR4-NOT transcription complex subunit 10
Q9H9A6,LRRC40,Leucine-rich repeat-containing protein 40
Q9H9B1,EHMT1,Histone-lysine N-methyltransferase EHMT1
Q9H9B4,SFXN1,Sideroflexin-1
Q9H9C1,VIPAS39,Spermatogenesis-defective protein 39 homolog
Q9H9E3,COG4,Conserved oligomeric Golgi complex subunit 4
Q9H9F9,ACTR5,Actin-related protein 5
Q9H9G7;Q9HCK5,AGO3,Protein argonaute-3
Q9H9H4,VPS37B,Vacuolar protein sorting-associated protein 37B
Q9H9J2,MRPL44,"39S ribosomal protein L44, mitochondrial"
Q9H9L3,ISG20L2,Interferon-stimulated 20 kDa exonuclease-like 2
Q9H9P8,L2HGDH,"L-2-hydroxyglutarate dehydrogenase, mitochondrial"
Q9H9Q2,COPS7B,COP9 signalosome complex subunit 7b
Q9H9T3,ELP3,Elongator complex protein 3
Q9H9Y2,RPF1,Ribosome production factor 1
Q9H9Y6,POLR1B,DNA-directed RNA polymerase I subunit RPA2
Q9H9Z2,LIN28A,Protein lin-28 homolog A
Q9HA47,UCK1,Uridine-cytidine kinase 1
Q9HA64,FN3KRP,Ketosamine-3-kinase
Q9HA77,CARS2,"Probable cysteine--tRNA ligase, mitochondrial"
Q9HA90,EFCC1,EF-hand and coiled-coil domain-containing protein 1
Q9HAB8,PPCS,Phosphopantothenate--cysteine ligase
Q9HAC7,SUGCT,Succinate--hydroxymethylglutarate CoA-transferase
Q9HAC8;Q8WUN7,UBTD1;UBTD2,Ubiquitin domain-containing protein 1;Ubiquitin domain-containing protein 2
Q9HAD4,WDR41,WD repeat-containing protein 41
Q9HAR2,LPHN3,Latrophilin-3
Q9HAS0,C17orf75,Protein Njmu-R1
Q9HAT2,SIAE,Sialate O-acetylesterase
Q9HAU0,PLEKHA5,Pleckstrin homology domain-containing family A member 5
Q9HAU5,UPF2,Regulator of nonsense transcripts 2
Q9HAV0,GNB4,Guanine nucleotide-binding protein subunit beta-4
Q9HAV4,XPO5,Exportin-5
Q9HAV7,GRPEL1,"GrpE protein homolog 1, mitochondrial"
Q9HB07,C12orf10,"UPF0160 protein MYG1, mitochondrial"
Q9HB40,SCPEP1,Retinoid-inducible serine carboxypeptidase
Q9HB66,MKKS,
Q9HB71,CACYBP,Calcyclin-binding protein
Q9HB90;Q9NQL2,RRAGC;RRAGD,Ras-related GTP-binding protein C;Ras-related GTP-binding protein D
Q9HBE1,PATZ1,"POZ-, AT hook-, and zinc finger-containing protein 1"
Q9HBF4,ZFYVE1,Zinc finger FYVE domain-containing protein 1
Q9HBG6,IFT122,Intraflagellar transport protein 122 homolog
Q9HBH5,RDH14,Retinol dehydrogenase 14
Q9HBK9,AS3MT,Arsenite methyltransferase
Q9HBM0,VEZT,Vezatin
Q9HBM1,SPC25,Kinetochore protein Spc25
Q9HBM6,TAF9B,Transcription initiation factor TFIID subunit 9B
Q9HBZ2,ARNT2,Aryl hydrocarbon receptor nuclear translocator 2
Q9HC07,TMEM165,Transmembrane protein 165
Q9HC35,EML4,Echinoderm microtubule-associated protein-like 4
Q9HC36,RNMTL1,"rRNA methyltransferase 3, mitochondrial"
Q9HC38,GLOD4,Glyoxalase domain-containing protein 4
Q9HC52,CBX8,Chromobox protein homolog 8
Q9HC78;Q96K62,ZBTB20,Zinc finger and BTB domain-containing protein 20
Q9HC98,NEK6,Serine/threonine-protein kinase Nek6
Q9HCB6,SPON1,Spondin-1
Q9HCC0,MCCC2,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"
Q9HCC8,GDPD2,Glycerophosphoinositol inositolphosphodiesterase GDPD2
Q9HCD5,NCOA5,Nuclear receptor coactivator 5
Q9HCE1,MOV10,Putative helicase MOV-10
Q9HCE3,ZNF532,Zinc finger protein 532
Q9HCE5,METTL14,N6-adenosine-methyltransferase subunit METTL14
Q9HCE6,ARHGEF10L,Rho guanine nucleotide exchange factor 10-like protein
Q9HCG8,CWC22,Pre-mRNA-splicing factor CWC22 homolog
Q9HCJ6,VAT1L,Synaptic vesicle membrane protein VAT-1 homolog-like
Q9HCK8,CHD8,Chromodomain-helicase-DNA-binding protein 8
Q9HCM2,PLXNA4,Plexin-A4
Q9HCM3,KIAA1549,UPF0606 protein KIAA1549
Q9HCM4;Q9H329,EPB41L5,Band 4.1-like protein 5
Q9HCN4,GPN1,GPN-loop GTPase 1
Q9HCN8,SDF2L1,Stromal cell-derived factor 2-like protein 1
Q9HCS7,XAB2,Pre-mRNA-splicing factor SYF1
Q9HCU4,CELSR2,Cadherin EGF LAG seven-pass G-type receptor 2
Q9HCU5,PREB,Prolactin regulatory element-binding protein
Q9HD20,ATP13A1,Manganese-transporting ATPase 13A1
Q9HD23,MRS2,"Magnesium transporter MRS2 homolog, mitochondrial"
Q9HD26,GOPC,Golgi-associated PDZ and coiled-coil motif-containing protein
Q9HD33,MRPL47,"39S ribosomal protein L47, mitochondrial"
Q9HD34,LYRM4,LYR motif-containing protein 4
Q9HD40,SEPSECS,O-phosphoseryl-tRNA(Sec) selenium transferase
Q9HD42,CHMP1A,Charged multivesicular body protein 1a
Q9HD45,TM9SF3,Transmembrane 9 superfamily member 3
Q9HD67,MYO10,Unconventional myosin-X
Q9HDC9,APMAP,Adipocyte plasma membrane-associated protein
Q9NNW5,WDR6,WD repeat-containing protein 6
Q9NNW7,TXNRD2,"Thioredoxin reductase 2, mitochondrial"
Q9NP58,ABCB6,"ATP-binding cassette sub-family B member 6, mitochondrial"
Q9NP61,ARFGAP3,ADP-ribosylation factor GTPase-activating protein 3
Q9NP64,ZCCHC17,Nucleolar protein of 40 kDa
Q9NP66,HMG20A,High mobility group protein 20A
Q9NP72,RAB18,Ras-related protein Rab-18
Q9NP74,PALMD,Palmdelphin
Q9NP77,SSU72,RNA polymerase II subunit A C-terminal domain phosphatase SSU72
Q9NP79,VTA1,Vacuolar protein sorting-associated protein VTA1 homolog
Q9NP80,PNPLA8,Calcium-independent phospholipase A2-gamma
Q9NP81,SARS2,"Serine--tRNA ligase, mitochondrial"
Q9NP90,RAB9B,Ras-related protein Rab-9B
Q9NP92,MRPS30,"28S ribosomal protein S30, mitochondrial"
Q9NP97;Q8TF09,DYNLRB1;DYNLRB2,Dynein light chain roadblock-type 1;Dynein light chain roadblock-type 2
Q9NPA0,EMC7,ER membrane protein complex subunit 7
Q9NPA8,ENY2,Transcription and mRNA export factor ENY2
Q9NPB8,GPCPD1,Glycerophosphocholine phosphodiesterase GPCPD1
Q9NPD3,EXOSC4,Exosome complex component RRP41
Q9NPF4,OSGEP,Probable tRNA N6-adenosine threonylcarbamoyltransferase
Q9NPF5,DMAP1,DNA methyltransferase 1-associated protein 1
Q9NPH0,ACP6,Lysophosphatidic acid phosphatase type 6
Q9NPH2,ISYNA1,Inositol-3-phosphate synthase 1
Q9NPI1,BRD7,Bromodomain-containing protein 7
Q9NPI6,DCP1A,mRNA-decapping enzyme 1A
Q9NPJ3,ACOT13,"Acyl-coenzyme A thioesterase 13;Acyl-coenzyme A thioesterase 13, N-terminally processed"
Q9NPJ6,MED4,Mediator of RNA polymerase II transcription subunit 4
Q9NPQ8,RIC8A,Synembryn-A
Q9NQ29,LUC7L,Putative RNA-binding protein Luc7-like 1
Q9NQ48,LZTFL1,Leucine zipper transcription factor-like protein 1
Q9NQ50,MRPL40,"39S ribosomal protein L40, mitochondrial"
Q9NQ66,PLCB1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1"
Q9NQ84,GPRC5C,G-protein coupled receptor family C group 5 member C
Q9NQ86,TRIM36,E3 ubiquitin-protein ligase TRIM36
Q9NQ88,TIGAR,"Fructose-2,6-bisphosphatase TIGAR"
Q9NQC3,RTN4,Reticulon-4
Q9NQE9,HINT3,Histidine triad nucleotide-binding protein 3
Q9NQG5,RPRD1B,Regulation of nuclear pre-mRNA domain-containing protein 1B
Q9NQH7,XPNPEP3,Probable Xaa-Pro aminopeptidase 3
Q9NQP4,PFDN4,Prefoldin subunit 4
Q9NQR4,NIT2,Omega-amidase NIT2
Q9NQS7,INCENP,Inner centromere protein
Q9NQT5,EXOSC3,Exosome complex component RRP40
Q9NQT8,KIF13B,Kinesin-like protein KIF13B
Q9NQW7,XPNPEP1,Xaa-Pro aminopeptidase 1
Q9NQX3,GPHN,Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase
Q9NQX4,MYO5C,Unconventional myosin-Vc
Q9NQX7,ITM2C,Integral membrane protein 2C;CT-BRI3
Q9NQZ2,UTP3,Something about silencing protein 10
Q9NR09,BIRC6,Baculoviral IAP repeat-containing protein 6
Q9NR12,PDLIM7,PDZ and LIM domain protein 7
Q9NR19,ACSS2,"Acetyl-coenzyme A synthetase, cytoplasmic"
Q9NR23,GDF3,Growth/differentiation factor 3
Q9NR28,DIABLO,"Diablo homolog, mitochondrial"
Q9NR30,DDX21,Nucleolar RNA helicase 2
Q9NR31,SAR1A,GTP-binding protein SAR1a
Q9NR45,NANS,Sialic acid synthase
Q9NR46,SH3GLB2,Endophilin-B2
Q9NR50,EIF2B3,Translation initiation factor eIF-2B subunit gamma
Q9NR56,MBNL1,Muscleblind-like protein 1
Q9NRD5,PICK1,PRKCA-binding protein
Q9NRF8,CTPS2,CTP synthase 2
Q9NRF9,POLE3,DNA polymerase epsilon subunit 3
Q9NRG4,SMYD2,N-lysine methyltransferase SMYD2
Q9NRG9,AAAS,Aladin
Q9NRL2,BAZ1A,Bromodomain adjacent to zinc finger domain protein 1A
Q9NRL3,STRN4,Striatin-4
Q9NRN5,OLFML3,Olfactomedin-like protein 3
Q9NRN7,AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
Q9NRN9,METTL5,Methyltransferase-like protein 5
Q9NRR5;Q9H347,UBQLN4,Ubiquilin-4
Q9NRW1;Q14964;Q9H0N0;Q53S08,RAB6B,Ras-related protein Rab-6B
Q9NRW4,DUSP22,Dual specificity protein phosphatase 22
Q9NRW7,VPS45,Vacuolar protein sorting-associated protein 45
Q9NRX1,PNO1,RNA-binding protein PNO1
Q9NRX2,MRPL17,"39S ribosomal protein L17, mitochondrial"
Q9NRX4,PHPT1,14 kDa phosphohistidine phosphatase
Q9NRY4,ARHGAP35,Rho GTPase-activating protein 35
Q9NRY5,FAM114A2,Protein FAM114A2
Q9NRZ5,AGPAT4,1-acyl-sn-glycerol-3-phosphate acyltransferase delta
Q9NRZ7,AGPAT3,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma
Q9NRZ9,HELLS,Lymphoid-specific helicase
Q9NS69,TOMM22,Mitochondrial import receptor subunit TOM22 homolog
Q9NS86,LANCL2,LanC-like protein 2
Q9NS87,KIF15,Kinesin-like protein KIF15
Q9NS91,RAD18,E3 ubiquitin-protein ligase RAD18
Q9NSC5,HOMER3,Homer protein homolog 3
Q9NSD9,FARSB,Phenylalanine--tRNA ligase beta subunit
Q9NSE4,IARS2,"Isoleucine--tRNA ligase, mitochondrial"
Q9NSK0;Q6P597,KLC4,Kinesin light chain 4
Q9NSU2,TREX1,Three-prime repair exonuclease 1
Q9NSY0,NRBP2,Nuclear receptor-binding protein 2
Q9NT62,ATG3,Ubiquitin-like-conjugating enzyme ATG3
Q9NT99;Q9HCJ2;Q9HBW1,LRRC4B,Leucine-rich repeat-containing protein 4B
Q9NTG7,SIRT3,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial"
Q9NTI5,PDS5B,Sister chromatid cohesion protein PDS5 homolog B
Q9NTJ3,SMC4,Structural maintenance of chromosomes protein 4
Q9NTJ5,SACM1L,Phosphatidylinositide phosphatase SAC1
Q9NTK5,OLA1,Obg-like ATPase 1
Q9NTM9,CUTC,Copper homeostasis protein cutC homolog
Q9NTX5,ECHDC1,Ethylmalonyl-CoA decarboxylase
Q9NTZ6,RBM12,RNA-binding protein 12
Q9NU22,MDN1,Midasin
Q9NUB1,ACSS1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial"
Q9NUD5,ZCCHC3,Zinc finger CCHC domain-containing protein 3
Q9NUI1,DECR2,"Peroxisomal 2,4-dienoyl-CoA reductase"
Q9NUJ1,ABHD10,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial"
Q9NUL3,STAU2,Double-stranded RNA-binding protein Staufen homolog 2
Q9NUL5,C19orf66,UPF0515 protein C19orf66
Q9NUL7,DDX28,Probable ATP-dependent RNA helicase DDX28
Q9NUM4,TMEM106B,Transmembrane protein 106B
Q9NUP9,LIN7C,Protein lin-7 homolog C
Q9NUQ2,AGPAT5,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon
Q9NUQ3,TXLNG,Gamma-taxilin
Q9NUQ6,SPATS2L,SPATS2-like protein
Q9NUQ7,UFSP2,Ufm1-specific protease 2
Q9NUQ8,ABCF3,ATP-binding cassette sub-family F member 3
Q9NUQ9,FAM49B,Protein FAM49B
Q9NUU7,DDX19A,ATP-dependent RNA helicase DDX19A
Q9NUW8,TDP1,Tyrosyl-DNA phosphodiesterase 1
Q9NUY8,TBC1D23,TBC1 domain family member 23
Q9NV06,DCAF13,DDB1- and CUL4-associated factor 13
Q9NV31,IMP3,U3 small nucleolar ribonucleoprotein protein IMP3
Q9NV70,EXOC1,Exocyst complex component 1
Q9NV88,INTS9,Integrator complex subunit 9
Q9NV96;Q3MIR4,TMEM30A,Cell cycle control protein 50A
Q9NVA2,SEPT11,Septin-11
Q9NVC6,MED17,Mediator of RNA polymerase II transcription subunit 17
Q9NVD7;Q9HBI1,PARVA,Alpha-parvin
Q9NVE7,PANK4,Pantothenate kinase 4
Q9NVG8,TBC1D13,TBC1 domain family member 13
Q9NVH0,EXD2,Exonuclease 3-5 domain-containing protein 2
Q9NVH1,DNAJC11,DnaJ homolog subfamily C member 11
Q9NVH2,INTS7,Integrator complex subunit 7
Q9NVH6,TMLHE,"Trimethyllysine dioxygenase, mitochondrial"
Q9NVI1,FANCI,Fanconi anemia group I protein
Q9NVI7,ATAD3A,ATPase family AAA domain-containing protein 3A
Q9NVJ2,ARL8B,ADP-ribosylation factor-like protein 8B
Q9NVM6,DNAJC17,DnaJ homolog subfamily C member 17
Q9NVM9,ASUN,Protein asunder homolog
Q9NVN3,RIC8B,Synembryn-B
Q9NVN8,GNL3L,Guanine nucleotide-binding protein-like 3-like protein
Q9NVP1,DDX18,ATP-dependent RNA helicase DDX18
Q9NVR2,INTS10,Integrator complex subunit 10
Q9NVR5,DNAAF2,Protein kintoun
Q9NVS9,PNPO,Pyridoxine-5-phosphate oxidase
Q9NVT9,ARMC1,Armadillo repeat-containing protein 1
Q9NVU7,SDAD1,Protein SDA1 homolog
Q9NVV4,MTPAP,"Poly(A) RNA polymerase, mitochondrial"
Q9NVX0,HAUS2,HAUS augmin-like complex subunit 2
Q9NVX2,NLE1,Notchless protein homolog 1
